Arquivo;Caminho;Tempo de Execução
test4.in;.//TRand10000;        0.01 real         0.00 user         0.00 sys
test5.in;.//TRand10000;        0.01 real         0.00 user         0.00 sys
test6.in;.//TRand10000;        0.01 real         0.00 user         0.00 sys
test7.in;.//TRand10000;        0.01 real         0.00 user         0.00 sys
test8.in;.//TRand10000;        0.01 real         0.00 user         0.00 sys
test9.in;.//TRand10000;        0.01 real         0.00 user         0.00 sys
test1.in;.//TRand100000;        0.02 real         0.01 user         0.00 sys
test10.in;.//TRand100000;        0.02 real         0.01 user         0.00 sys
test2.in;.//TRand100000;        0.02 real         0.01 user         0.00 sys
test3.in;.//TRand100000;        0.02 real         0.01 user         0.00 sys
test4.in;.//TRand100000;        0.03 real         0.01 user         0.00 sys
test5.in;.//TRand100000;        0.02 real         0.01 user         0.00 sys
test6.in;.//TRand100000;        0.02 real         0.01 user         0.00 sys
test7.in;.//TRand100000;        0.02 real         0.01 user         0.00 sys
test8.in;.//TRand100000;        0.02 real         0.01 user         0.00 sys
test9.in;.//TRand100000;        0.03 real         0.01 user         0.00 sys
test1.in;.//TSame10;        0.02 real         0.00 user         0.00 sys
test10.in;.//TSame10;        0.01 real         0.00 user         0.00 sys
test2.in;.//TSame10;        0.01 real         0.00 user         0.00 sys
test3.in;.//TSame10;        0.01 real         0.00 user         0.00 sys
test4.in;.//TSame10;        0.01 real         0.00 user         0.00 sys
test5.in;.//TSame10;        0.01 real         0.00 user         0.00 sys
test6.in;.//TSame10;        0.01 real         0.00 user         0.00 sys
test7.in;.//TSame10;        0.01 real         0.00 user         0.00 sys
test8.in;.//TSame10;        0.01 real         0.00 user         0.00 sys
test9.in;.//TSame10;        0.01 real         0.00 user         0.00 sys
test1.in;.//TSame100;        0.01 real         0.00 user         0.00 sys
test10.in;.//TSame100;        0.01 real         0.00 user         0.00 sys
test2.in;.//TSame100;        0.01 real         0.00 user         0.00 sys
test3.in;.//TSame100;        0.01 real         0.00 user         0.00 sys
test4.in;.//TSame100;        0.01 real         0.00 user         0.00 sys
test5.in;.//TSame100;        0.01 real         0.00 user         0.00 sys
test6.in;.//TSame100;        0.01 real         0.00 user         0.00 sys
test7.in;.//TSame100;        0.01 real         0.00 user         0.00 sys
test8.in;.//TSame100;        0.01 real         0.00 user         0.00 sys
test9.in;.//TSame100;        0.01 real         0.00 user         0.00 sys
test1.in;.//TSame1000;        0.01 real         0.00 user         0.00 sys
test10.in;.//TSame1000;        0.01 real         0.00 user         0.00 sys
test2.in;.//TSame1000;        0.01 real         0.00 user         0.00 sys
test3.in;.//TSame1000;        0.01 real         0.00 user         0.00 sys
test4.in;.//TSame1000;        0.01 real         0.00 user         0.00 sys
test5.in;.//TSame1000;        0.03 real         0.00 user         0.00 sys
test6.in;.//TSame1000;        0.01 real         0.00 user         0.00 sys
test7.in;.//TSame1000;        0.01 real         0.00 user         0.00 sys
test8.in;.//TSame1000;        0.01 real         0.00 user         0.00 sys
test9.in;.//TSame1000;        0.01 real         0.00 user         0.00 sys
test1.in;.//TSame10000;        0.01 real         0.00 user         0.00 sys
test10.in;.//TSame10000;        0.01 real         0.00 user         0.00 sys
test2.in;.//TSame10000;        0.01 real         0.00 user         0.00 sys
test3.in;.//TSame10000;        0.01 real         0.00 user         0.00 sys
test4.in;.//TSame10000;        0.01 real         0.00 user         0.00 sys
test5.in;.//TSame10000;        0.01 real         0.00 user         0.00 sys
test6.in;.//TSame10000;        0.02 real         0.00 user         0.00 sys
test7.in;.//TSame10000;        0.01 real         0.00 user         0.00 sys
test8.in;.//TSame10000;        0.01 real         0.00 user         0.00 sys
test9.in;.//TSame10000;        0.01 real         0.00 user         0.00 sys
test1.in;.//TSame100000;        0.02 real         0.01 user         0.00 sys
test10.in;.//TSame100000;        0.02 real         0.01 user         0.00 sys
test2.in;.//TSame100000;        0.02 real         0.01 user         0.00 sys
test3.in;.//TSame100000;        0.02 real         0.01 user         0.00 sys
test4.in;.//TSame100000;        0.02 real         0.01 user         0.00 sys
test5.in;.//TSame100000;        0.02 real         0.01 user         0.00 sys
test6.in;.//TSame100000;        0.02 real         0.01 user         0.00 sys
test7.in;.//TSame100000;        0.02 real         0.01 user         0.00 sys
test8.in;.//TSame100000;        0.02 real         0.01 user         0.00 sys
test9.in;.//TSame100000;        0.02 real         0.01 user         0.00 sys
